Date,Open,High,Low,Close,Adj Close,Volume,Price Movement
1/2/2020,1518.099976,1528.699951,1518,1524.5,1524.5,214,Up
1/3/2020,1530.099976,1552.699951,1530.099976,1549.199951,1549.199951,107,Up
1/6/2020,1580,1580,1560.400024,1566.199951,1566.199951,416,Up
1/7/2020,1558.300049,1576.300049,1558.300049,1571.800049,1571.800049,47,Up
1/8/2020,1579.699951,1604.199951,1552.300049,1557.400024,1557.400024,236,Down
1/9/2020,1555.699951,1555.699951,1543.300049,1551.699951,1551.699951,54,Down
1/10/2020,1551.199951,1558.800049,1545.400024,1557.5,1557.5,16,Up
1/13/2020,1557.400024,1558,1548.400024,1548.400024,1548.400024,48,Down
1/14/2020,1546.699951,1546.699951,1534.900024,1542.400024,1542.400024,32,Down
1/15/2020,1548,1553.900024,1545.599976,1552.099976,1552.099976,11,Up
1/16/2020,1555.699951,1556.099976,1548.5,1549,1549,98,Down
1/17/2020,1554.099976,1558.800049,1553.599976,1558.800049,1558.800049,108,Up
1/21/2020,1559.300049,1566.199951,1551,1556.400024,1556.400024,45,Down
1/22/2020,1549.800049,1557.099976,1549.800049,1555.300049,1555.300049,42,Down
1/23/2020,1553.099976,1564.599976,1552.199951,1564.599976,1564.599976,15,Up
1/24/2020,1556.300049,1571.099976,1556.300049,1571.099976,1571.099976,43,Up
1/27/2020,1584.300049,1584.5,1576.800049,1576.800049,1576.800049,22,Up
1/28/2020,1576.400024,1576.400024,1569.199951,1569.199951,1569.199951,3,Down
1/29/2020,1569.800049,1569.800049,1569.800049,1569.800049,1569.800049,251274,Up
1/30/2020,1576.800049,1585,1571.400024,1583.5,1583.5,62336,Up
1/31/2020,1573.400024,1589,1570,1582.900024,1582.900024,1095,Down
2/3/2020,1592.900024,1593.300049,1568.199951,1577.199951,1577.199951,1062,Down
2/4/2020,1577.699951,1577.699951,1547.800049,1550.400024,1550.400024,978,Down
2/5/2020,1553.199951,1560.699951,1547.699951,1557.800049,1557.800049,1305,Up
2/6/2020,1553.599976,1565.599976,1551.599976,1565.099976,1565.099976,110,Up
2/7/2020,1564.900024,1571.900024,1560.5,1568.599976,1568.599976,431,Up
2/10/2020,1569.300049,1574.699951,1568.599976,1574.699951,1574.699951,128,Up
2/11/2020,1570.900024,1571.099976,1561.900024,1565.599976,1565.599976,440,Down
2/12/2020,1565.199951,1568.699951,1561,1567.400024,1567.400024,36,Up
2/13/2020,1570.199951,1575.099976,1570.199951,1575.099976,1575.099976,74,Up
2/14/2020,1575.800049,1582.699951,1574.800049,1582.699951,1582.699951,68,Up
2/18/2020,1579.800049,1604.300049,1579.800049,1600,1600,310,Up
2/19/2020,1600.599976,1610.5,1599.699951,1607.5,1607.5,542,Up
2/20/2020,1606.5,1621,1603,1616.599976,1616.599976,117,Up
2/21/2020,1619.300049,1645,1619.300049,1644.599976,1644.599976,186,Up
2/24/2020,1657,1686.599976,1650,1672.400024,1672.400024,435,Up
2/25/2020,1645.099976,1653.699951,1632.300049,1646.900024,1646.900024,409,Down
2/26/2020,1644,1648.099976,1636.400024,1640,1640,1990,Down
2/28/2020,1640.300049,1642.5,1564.099976,1564.099976,1564.099976,289,Down
3/2/2020,1583.900024,1608.300049,1574.300049,1592.300049,1592.300049,537,Up
3/3/2020,1594.5,1645.300049,1594,1642.099976,1642.099976,610,Up
3/4/2020,1645.400024,1645.900024,1631.300049,1641.099976,1641.099976,83,Down
3/5/2020,1637.300049,1672.900024,1637.199951,1666.400024,1666.400024,154,Up
3/6/2020,1670.800049,1686.199951,1647.199951,1670.800049,1670.800049,175,Up
3/9/2020,1696.099976,1701.599976,1657.699951,1674.5,1674.5,161,Up
3/10/2020,1671.599976,1674.599976,1643,1659.099976,1659.099976,48,Down
3/11/2020,1656.599976,1666.5,1635,1641.400024,1641.400024,47,Down
3/12/2020,1637,1647.5,1566.400024,1589.300049,1589.300049,256,Down
3/13/2020,1574.900024,1589.800049,1513.800049,1515.699951,1515.699951,89,Down
3/16/2020,1569.099976,1569.099976,1452.099976,1485.900024,1485.900024,193,Down
3/17/2020,1469.300049,1537.699951,1469.300049,1524.900024,1524.900024,122,Up
3/18/2020,1537.5,1542,1477.300049,1477.300049,1477.300049,333,Down
3/19/2020,1481.5,1491.599976,1471,1478.599976,1478.599976,262,Up
3/20/2020,1483.5,1484,1483.5,1484,1484,14,Up
3/23/2020,1505.300049,1567,1490.199951,1567,1567,51,Up
3/24/2020,1592.699951,1685.5,1592.699951,1660.199951,1660.199951,442,Up
3/25/2020,1676.5,1676.5,1631.099976,1632.300049,1632.300049,476,Down
3/26/2020,1660.5,1660.5,1650.099976,1650.099976,1650.099976,3,Up
3/27/2020,1623.900024,1623.900024,1623.900024,1623.900024,1623.900024,100638,Down
3/30/2020,1641.199951,1652.800049,1607.199951,1622,1622,16389,Down
3/31/2020,1618.699951,1621,1576,1583.400024,1583.400024,2874,Down
4/1/2020,1570,1600,1570,1578.199951,1578.199951,2158,Down
4/2/2020,1590.900024,1631.199951,1586,1625.699951,1625.699951,1294,Up
4/3/2020,1624.5,1636,1619.800049,1633.699951,1633.699951,643,Up
4/6/2020,1629.099976,1696.699951,1625.900024,1677,1677,1063,Up
4/7/2020,1695.699951,1724.400024,1658,1664.800049,1664.800049,1144,Down
4/8/2020,1669.699951,1677,1662.5,1665.400024,1665.400024,747,Up
4/9/2020,1662.699951,1736.199951,1662.699951,1736.199951,1736.199951,825,Up
4/13/2020,1722,1756.800049,1710.699951,1744.800049,1744.800049,696,Up
4/14/2020,1756.800049,1775,1739.5,1756.699951,1756.699951,675,Up
4/15/2020,1739.400024,1744.900024,1722.699951,1727.199951,1727.199951,642,Down
4/16/2020,1731,1750.599976,1715,1720.400024,1720.400024,162,Down
4/17/2020,1715.699951,1725,1684.900024,1689.199951,1689.199951,223,Down
4/20/2020,1686,1701.599976,1680,1701.599976,1701.599976,106,Up
4/21/2020,1697,1707.099976,1659.900024,1678.199951,1678.199951,666,Down
4/22/2020,1696,1728.699951,1684.800049,1728.699951,1728.699951,453,Up
4/23/2020,1734,1745.099976,1733.300049,1733.300049,1733.300049,482,Up
4/24/2020,1744,1744,1714.5,1723.5,1723.5,221,Down
4/27/2020,1731.900024,1731.900024,1711.900024,1711.900024,1711.900024,169,Down
4/28/2020,1716.599976,1716.599976,1707.099976,1710.5,1710.5,1255,Down
4/29/2020,1710,1713.5,1702,1703.400024,1703.400024,373,Down
4/30/2020,1719.300049,1719.300049,1680.800049,1684.199951,1684.199951,327,Down
5/1/2020,1686.599976,1701.5,1670.5,1694.5,1694.5,337,Up
5/4/2020,1702.599976,1709,1699.599976,1706.900024,1706.900024,320,Up
5/5/2020,1701.5,1704.400024,1697.199951,1704.400024,1704.400024,82,Down
5/6/2020,1704,1704,1684.199951,1684.199951,1684.199951,469,Down
5/7/2020,1686.199951,1721.800049,1685.599976,1721.800049,1721.800049,853,Up
5/8/2020,1726.199951,1728.900024,1703.800049,1709.900024,1709.900024,330,Down
5/11/2020,1702.300049,1704.5,1690.199951,1695.300049,1695.300049,749,Down
5/12/2020,1699.300049,1713.099976,1699.300049,1704.400024,1704.400024,324,Up
5/13/2020,1702,1721.300049,1701.900024,1713.900024,1713.900024,431,Up
5/14/2020,1724.300049,1743.099976,1720.5,1738.099976,1738.099976,672,Up
5/15/2020,1739.699951,1753.400024,1739.699951,1753.400024,1753.400024,719,Up
5/18/2020,1755.699951,1770.5,1731.800049,1731.800049,1731.800049,229,Down
5/19/2020,1744.199951,1749.5,1744.199951,1744.199951,1744.199951,167,Up
5/20/2020,1751.599976,1752.099976,1745.599976,1750.599976,1750.599976,16,Up
5/21/2020,1746.800049,1746.800049,1720.5,1720.5,1720.5,528,Down
5/22/2020,1726.599976,1734.599976,1726.599976,1734.599976,1734.599976,6,Up
5/26/2020,1726.400024,1726.400024,1704.800049,1704.800049,1704.800049,39,Down
5/27/2020,1685.599976,1710.300049,1685.599976,1710.300049,1710.300049,137416,Up
5/28/2020,1709.300049,1727.800049,1705,1713.300049,1713.300049,23355,Up
5/29/2020,1718.800049,1738.300049,1715.099976,1736.900024,1736.900024,1526,Up
6/1/2020,1740.400024,1747,1727.099976,1737.800049,1737.800049,871,Up
6/2/2020,1743,1745.5,1721.800049,1725.199951,1725.199951,741,Down
6/3/2020,1726.300049,1726.300049,1684.5,1697.800049,1697.800049,2755,Down
6/4/2020,1694.5,1718.900024,1694.5,1718.900024,1718.900024,807,Up
6/5/2020,1711.800049,1711.800049,1668.599976,1676.199951,1676.199951,1502,Down
